nickname	doc#973	meghalnék. Laci 04/29/98 13:33:00	Kedves egy lány	, ' Én meghalnék ' Kellemetlen. 
nickname	doc#973	Sehonnai Bitang Ember 05/07/98 08:40:00	Kedves egy lány	! Bocsi, én konkrétabb, esetleg személyes 
nickname	doc#973	kezdet nehéz... G.R. 04/30/98 15:16:00	Kedves egy lány	! ' Egyébiránt szerintem a két pasi 
nickname	doc#973	Sehonnai Bitang Ember 05/07/98 14:37:00	Kedves egy lány	! Természetesen mindkettőben, ez nem 
nickname	doc#973	De ez legyen csak vitaindító. És	kedves egy lány	, én igenis úgy látom, hogy a szeretet egyértelmű 
nickname	doc#973	sem tudsz. David_i 05/08/98 12:53:00	Kedves egy lány	, A másik topicban kezdtél olyan szélsőséges 
nickname	doc#973	Sehonnai Bitang Ember 05/11/98 10:05:00	Kedves egy lány	! Kérlek, ne vádaskodj meg nem történt 
nickname	doc#973	rengeteg... Fóka 05/13/98 14:14:00	Kedves egy lány	, a topicért valóban jár a 10 pont! 
nickname	doc#973	jól sikerült.:﹚ JT 09/27/99 19:28:04	Kedves egy lány	! Ezt írtad az Angol beteg c. filmről 
nickname	doc#973	Sehonnai Bitang Ember 05/22/98 08:10:00	Kedves egy lány	! Jobban körül kel nézni! Én benne 
nickname	doc#973	Sehonnai Bitang Ember 05/22/98 08:24:00	Kedves egy lány	! Már hogyne örülnénk? Ez is bizonyítja 
nickname	doc#973	Sehonnai Bitang Ember 05/22/98 13:47:00	Kedves egy lány	! A párkeresők részére majd emilhetnél 
nickname	doc#974	vége? Mary-Blue 05/26/98 11:07:00	Kedves egy lány	! Miért fontos neked a márkanév, most 
nickname	doc#974	rólad? Mary-Blue 05/26/98 11:38:00	Kedves egy lány	! Munkahelyről netezek, de a számlát 
nickname	doc#974	szavát Gawain 05/28/98 15:58:00 szia	kedves egy lány	, épp ez az, a Trans-Global az World 
nickname	doc#974	tűnsz! :-﹚ Gawain 05/28/98 16:38:00	kedves egy lány	, az egy dolog, hogy egzotikusnak  
nickname	doc#974	Sehonnai Bitang Ember 06/05/98 09:34:00	Kedves egy lány	! Ez talán beleférne a Női praktikák 
nickname	doc#974	volt mind. hant 06/12/98 12:38:00	Kedves egy lány	! Örülök, hogy egyből észrevettél  
nickname	doc#974	kosztelerin! :-﹚ hant 06/12/98 12:47:00	Kedves egy lány	! Szeretünk Titeket! egy lány 06/12/98 
nickname	doc#974	Sehonnai Bitang Ember 07/21/98 14:47:00	Kedves egy lány	! Ne aggódj, korán reggel és késő  
nickname	doc#974	Sehonnai Bitang Ember 06/17/98 17:13:00	Kedves egy lány	! Neked nincsenek olyan hölgyismerőseid 
nickname	doc#976	elismeri! josarien 07/21/98 16:12:00	Kedves egy lány	! Már 07-15-98 10:48 AM-kor olvashato volt 
nickname	doc#976	monitortól, míg elejétől végéig el nem olvastam.	Kedves egy lány	, ZöPö, MaCs, Pepin, kaviat, Pirítós, neduddgi 
nickname	doc#977	Sehonnai Bitang Ember 09/16/98 15:51:00	Kedves egy lány	! Az inggallérokról kellene valami 
nickname	doc#977	Depardieu-vel﹚ nephilim 09/16/98 21:36:00	kedves egy lány	, igazán írhatnál valamit az extravagáns 
nickname	doc#977	Sehonnai Bitang Ember 09/18/98 11:55:00	Kedves egy lány	! Nem tetszik ez a mondatod: ' Az  
nickname	doc#977	Sehonnai Bitang Ember 09/18/98 12:18:00	Kedves egy lány	! Nem kötekedtem - érdeklődtem. Válaszoltál 
nickname	doc#977	Hát igen. Gabika 09/18/98 23:02:00	Kedves egy lány	!! Sokx nézted az Elemi Ösztönt? Amúgy meg 
nickname	doc#977	fotózom őket. nephilim 09/21/98 11:13:00	kedves egy lány	, rögtön kezdheted is a fotózást például 
nickname	doc#977	nyakkendőt venni. kheiron 09/21/98 19:27:00	Kedves egy lány	és macsó! Előre bocsátom: nem vagyok 
nickname	doc#977	Sehonnai Bitang Ember 09/22/98 18:05:00	Kedves egy lány	! Akkor az álló gallérú zakóhoz sem 
nickname	doc#978	tonnát. -z- ZöPö 11/09/98 15:51:00	Kedves egy lány	, látod, téged is becsaptalak! Igazából  
nickname	doc#979	Purusa Erdeilány 11/12/98 16:18:00	Kedves egy lány	, IMHO éppenséggel az egyedülálló nők között 
nickname	doc#979	változom. Erdeilány 11/16/98 09:26:00	Kedves egy lány	, nem olvasol te kissé szelektíve? Nos,  
nickname	doc#979	Emancipalodni akarok! Robzon 11/20/98 16:45:00	Kedves egy lány	! Én csak azt kívánom neked, hogy ennél  
nickname	doc#979	alkalommal. Egérke 11/18/98 11:31:00	Kedves egy lány	! És kivel akarsz Te táncolni? Velem? Vagy 
nickname	doc#979	főszervezőnktől, tájékoztatni foglak.	Kedves egy lány	! Küldtem emilt. Kaptad? ﹙ésválaszolszis 
nickname	doc#979	főszervezőnktől, tájékoztatni foglak.	Kedves egy lány	! Küldtem emilt. Kaptad? ﹙ésválaszolszis 
nickname	doc#979	főszervezőnktől, tájékoztatni foglak.	Kedves egy lány	! Küldtem emilt. Kaptad? ﹙ésválaszolszis 
nickname	doc#999	valóságépítő technikum 10/07/99 00:34:46	kedves egy lány	, mint a valóságépítő technikum alapítójának 
other	doc#998	csinnnKA 09/10/99 13:08:35 MAMAhal, '	édes egy gyermekem	'! :-﹚ Azért valljuk be, egy képesség még 
other	doc#998	magatokat leplezitek le. MAMAhal, '	édes egy gyermekem	'! Hol van itt ellenség, mesélj! Látsz  
other	doc#998	csinnnKA 09/16/99 16:49:32 MAMAhal, '	édes egy gyermekem	'! Itt vagyok, megvédelek ﹙holnap csuszi 
other	doc#998	hitvány kis életeteket. MAMAhal, '	édes egy gyermekem	'! Meg kell mondjam, nagyon büszke vagyok 
other	doc#998	csinnnKA 09/23/99 13:01:45 MAMAhal, '	édes egy gyermekem	'! Igenis meglátogatni. Miért?! Számodra 
other	doc#998	csinnnKA 09/28/99 11:28:59 MAMAhal, '	édes egy gyermekem	'! Most mondd... itt vagyunk, talpig megfélemlítve 
other	doc#998	pasikat meg sem látja. Pech! MAMAhal, '	édes egy gyermekem	'! Úúúúccceretem, hogy olyan okos vagy! 
other	doc#998	meg leszállni a földre. MAMAhal, '	édes egy gyermekem	'! :-﹚ ' káros behatást szenvedni ﹙a te 
other	doc#998	meg leszállni a földre. MAMAhal, '	édes egy gyermekem	'! :-﹚ ' káros behatást szenvedni ﹙a te 
other	doc#998	csinnnKA 09/29/99 10:49:35 MAMAhal, '	édes egy gyermekem	'! Nem a jelenlegi családi állapotod számít 
other	doc#998	csinnnKA 09/29/99 15:21:15 MAMAhal, '	édes egy gyermekem	'! Dehogy fogyott ki... szerintem éppen 
other	doc#998	Persze csak ha van mivel!﹚ MAMAhal, '	édes egy gyermekem	'! Menj csak... és jó szüretelést! :- * 
other	doc#998	csinnnKA 10/04/99 15:57:11 MAMAhal, '	édes egy gyermekem	'! Örülök, hogy újra a fedélzeten... méghozzá 
other	doc#998	csinnnKA 10/05/99 10:54:13 MAMAhal, '	édes egy gyermekem	'! Már megint túlzásokba esel Rettenetet 
other	doc#998	csinnnKA 10/05/99 11:18:04 MAMAhal, '	édes egy gyermekem	'! Hogy Te milyen jó vagy! Meg sem érdemelnek 
other	doc#998	csinnnKA 10/11/99 10:46:01 MAMAhal, '	édes egy gyermekem	'! Jó, hogy visszatértél... igenis 
other	doc#998	csinnnKA 10/11/99 12:14:56 MAMAhal, '	édes egy gyermekem	'! Á, olyan magas szék nincs is. Máskülönben 
other	doc#998	csak néha kellemetlen. MAMAhal, '	édes egy gyermekem	'! Apró kis ajándék tőlem-neked azért,  
other	doc#998	csinnnKA 10/15/99 14:12:51 MAMAhal, '	édes egy gyermekem	'! Szenzációs vagy!!! S hát igen, velük 
other	doc#998	Gyötör! ﹙RE: 933﹚ Mit vett át tőlem az én '	édes egy gyermekem	'? :-O Ahogy így elnézegetem, elég jól  
other	doc#998	elkerülése végett nekem csupán egyetlen '	édes egy gyermekem	' van, ő pedig MAMAhal. Végzettségemet  
other	doc#998	csinnnKA 10/25/99 12:18:58 MAMAhal, '	édes egy gyermekem	'! Már megint nem figyelsz! Szerinted ha 
other	doc#998	egy kicsit megtévesztett. MAMAhal, '	édes egy gyermekem	'! Amíg Einsteinék a relativitás-elméletet 
other	doc#998	11/01/99 08:40:29 Kiegészítések MAMAhal ﹙'	édes egy gyermekem	'﹚ kétségtelenül zseniális felsorolásához 
other	doc#998	felocsúdtam, jelentkezem! MAMAhal, '	édes egy gyermekem	'! Hát Te meg hol vagyol??? :-﹙ MAMAhal 
other	doc#998	csinnnKA 11/02/99 16:15:02 MAMAhal, '	édes egy gyermekem	'! :- * Jó, rendben... kitartalak ﹙amíg 
other	doc#998	bár nem érzem feljogosítva magam, hogy '	édes egy gyermekem	' -nek címzett hozzászólamlásodra magam 
other	doc#998	hímneműek is el tudják végezni. MAMAhal, '	édes egy gyermekem	'! :-﹚... meg a bútorszállító- és a hurcigáló 
other	doc#998	álcázom... meg aztán: segítségemre van az én	édes egy gyermekem	, akivel -mint észrevetted- remekül megértjük 
other	doc#998	után a chilis-bab! ;-﹚ MAMAhal, '	édes egy gyermekem	'! A színvonaltalanságnak ezt a szintjét 
other	doc#998	csinnnKA 11/09/99 09:52:31 MAMAhal, '	édes egy gyermekem	'! Nehogy azt hidd már egyetlen percig  
other	doc#998	csinnnKA 11/10/99 16:19:45 1. Már MAMAhal '	édes egy gyermekem	' is belefáradt Rettenet hülyeségeibe ﹙ 
other	doc#1003	legyen az egész cucc? :-﹚ MAMAhal, '	édes egy gyermekem	'! ;-﹚ Az eredeti recipe itt olvasható: 
other	doc#1003	csinnnKA 06/17/99 13:14:13 MAMAhal, '	édes egy gyermekem	'! ;-﹚ 1. ﹙só﹚ Nahát, hogy ez nekem nem 
other	doc#1020	printelés e témakörben! ;-D MAMAhal, '	édes egy gyermekem	'! Bizony-bizony, én anno -vagy 5-10 éve- 
other	doc#1020	csinnnKA 10/07/99 16:17:48 MAMAhal, '	édes egy gyermekem	'! Megtiltom... érted? Megtiltom, hogy  
'egy' meaning 'sole'	doc#122	is vállalja, főleg ha énirántam aztán az	égadta egy világon	semmit sem érez? Hogy talán ebben is hazudna 
'egy' meaning 'sole'	doc#1004	ki magam egy ilyen vizsgálatnak, mert az	égadta egy világon	semmi értelme nincs. Ha csak az nem, hogy 
'egy' meaning 'sole'	doc#1004	mondanak. Ehhez hiába olvasol el mindent az	égadta egy világon	és mondanak el mindent jó előre, ez elsőre 
'egy' meaning 'sole'	doc#1010	összejöveteleken ismerkedtek meg egymással, és az	égadta egy világon	semmi közük nem volt holmi marxista, maoista 
'egy' meaning 'sole'	doc#1911	gyermekkoromat, amikor semmink se volt, de az	égadta egy világon	semmink-de-semmink, viszont babzsákot,  
'egy' meaning 'sole'	doc#2144	légtérvédelem, egy járőrözési feladat ellátásához az	égadta egy világon	semmi szükség nincsen légi utántöltésre 
'egy' meaning 'sole'	doc#2155	későbbiek során aztán igazolódott, hogy az	égadta egy világon	nincs problémája az Európai Uniónak ezzel 
'egy' meaning 'sole'	doc#2156	látszólagos érv, de olyan érv, amelynek az	égadta egy világon	semmi alapja nincs. Én szívesen megkérdezném 
'egy' meaning 'sole'	doc#2182	folytonosságával, függetlenségével, egységével az	égadta egy világon	nincs semmi problémám, és azzal sincs problémám 
